,Family,Genus,SpeciesName,Gender_literature,Gender_source
1513,Plantaginaceae,Veronica,mooreae,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1516,Plantaginaceae,Veronica,obtusata,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1517,Plantaginaceae,Veronica,ochracea,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1518,Plantaginaceae,Veronica,odora,H or GD,"Delph 1990 (H), Bayly and Kellow 2006 (H), Low 2005 (H or GD)"
1519,Plantaginaceae,Veronica,pareora,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1520,Plantaginaceae,Veronica,parviflora,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1521,Plantaginaceae,Veronica,pauciramosa,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1522,Plantaginaceae,Veronica,pentasepala,H,"Delph 1990, Garnock-Jones 2023"
1523,Plantaginaceae,Veronica,perbella,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1524,Plantaginaceae,Veronica,petriei,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1526,Plantaginaceae,Veronica,pimeleoides,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1527,Plantaginaceae,Veronica,pinguifolia,H or GD,"Delph 1990 (H), Low 2005 (GD)"
1528,Plantaginaceae,Veronica,planopetiolata,H,"Garnock Jones 1976, Garnock-Jones 2023"
1530,Plantaginaceae,Veronica,poppelwellii,H,"Delph 1990, Garnock-Jones 2023"
1531,Plantaginaceae,Veronica,propinqua,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1532,Plantaginaceae,Veronica,pubescens,H or GD,"Bayly and Kellow 2006 (GD), Garnock-Jones 2023 (H or GD)"
1533,Plantaginaceae,Veronica,pulvinaris,D or GD,"Delph 1990 (D or GD), Garnock-Jones 2023 (D)"
1534,Plantaginaceae,Veronica,punicea,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1535,Plantaginaceae,Veronica,quadrifaria,D,"Bayly and Kellow 2006, Garnock-Jones 2023"
1536,Plantaginaceae,Veronica,rakaiensis,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1537,Plantaginaceae,Veronica,raoulii,H,"Delph 1990, Garnock-Jones 2023"
1538,Plantaginaceae,Veronica,rigidula,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1539,Plantaginaceae,Veronica,rivalis,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1540,Plantaginaceae,Veronica,rupicola,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1541,Plantaginaceae,Veronica,salicifolia,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1542,Plantaginaceae,Veronica,salicornioides,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1544,Plantaginaceae,Veronica,scopulorum,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1545,Plantaginaceae,Veronica,scrupea,H,Garnock-Jones 2023
1546,Plantaginaceae,Veronica,senex,H,Garnock-Jones 2023
1547,Plantaginaceae,Veronica,simulans,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1548,Plantaginaceae,Veronica,societatis,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1549,Plantaginaceae,Veronica,spathulata,H,"Garnock Jones 1976, Garnock-Jones 2023"
1550,Plantaginaceae,Veronica,speciosa,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1552,Plantaginaceae,Veronica,stenophylla,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1553,Plantaginaceae,Veronica,stricta,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1554,Plantaginaceae,Veronica,strictissima,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1555,Plantaginaceae,Veronica,subalpina,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1556,Plantaginaceae,Veronica,subfulvida,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1557,Plantaginaceae,Veronica,tairawhiti,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1558,Plantaginaceae,Veronica,tetragona,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1559,Plantaginaceae,Veronica,tetrasticha,D,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1560,Plantaginaceae,Veronica,thomsonii,D or GD,"Delph 1990 (D or GD), Garnock-Jones 2023 (D)"
1561,Plantaginaceae,Veronica,topiaria,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1562,Plantaginaceae,Veronica,townsonii,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1563,Plantaginaceae,Veronica,traversii,GD,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1564,Plantaginaceae,Veronica,treadwellii,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1565,Plantaginaceae,Veronica,trifida,H,"Garnock Jones 1976, Garnock-Jones 2023"
1566,Plantaginaceae,Veronica,truncatula,GD,"Bayly and Kellow 2006, Garnock-Jones 2023"
1569,Plantaginaceae,Veronica,venustula,H,"Bayly and Kellow 2006, Garnock-Jones 2023"
1570,Plantaginaceae,Veronica,vernicosa,H,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
1571,Plantaginaceae,Veronica,zygantha,H,"Garnock Jones 1976, Garnock-Jones 2023"
